# Station inventory fetched from EarthScope FDSN
# Network Station Latitude Longitude Elevation(m)
IU INCN 37.4777 126.6244 55.0
IC BJT 40.0191 116.1716 220.0
IC MDJ 44.6176 129.5934 290.0
IC SSE 31.0946 121.1886 20.0
IU MAJO 36.5457 138.2041 405.0
IU YSS 46.9587 142.7604 150.0
II ERM 42.0150 143.1572 40.0
KS BUS2 35.2486 129.1125 89.0
KS SEO2 37.4939 126.9171 85.0
IU ULN 47.8651 107.0532 1610.0
IU ADK 51.8823 -176.6842 130.0
IU TATO 24.9735 121.4971 160.0
JP JTU 34.5275 129.3963 70.0
JP JMM 37.8690 140.7897 100.0
JP JTM 40.7895 141.0647 130.0
