# Station inventory fetched from EarthScope FDSN
# Network Station Latitude Longitude Elevation(m)
CI CLC 35.8157 -117.5975 775.0
CI SLA 35.8909 -117.2833 1174.0
CI SRT 35.6923 -117.7505 667.0
CI MPM 36.0580 -117.4890 1839.0
CI WRC2 35.9479 -117.6504 943.0
CI TOW2 35.8086 -117.7649 685.0
CI JRC2 35.9825 -117.8089 1469.0
CI WBM 35.6084 -117.8905 892.0
CI LRL 35.4795 -117.6821 1340.0
CI DAW 36.2715 -117.5921 1477.4
CI CCC 35.5249 -117.3645 670.0
CI WMF 36.1176 -117.8549 1537.4
CI CWC 36.4390 -118.0805 1569.5
CI GSC 35.3018 -116.8057 1000.0
CI BLA2 34.0693 -116.3899 1247.0
CI ISA 35.6628 -118.4740 873.0
CI HEC 34.8294 -116.3350 920.0
CI EDW2 34.8811 -117.9939 772.0
CI ADO 34.5505 -117.4339 908.0
IU ANMO 34.9459 -106.4572 1820.0
IU TUC 32.3098 -110.7847 910.0
IU COR 44.5855 -123.3046 110.0
