station,phase,distance_km,azimuth,residual_s,weight,used
IU.ULN,P,1115.68,295.933,-62.4884,0.25,1
IC.BJT,P,592.315,219.13,-0.000323385,0.25,1
IU.INCN,P,907.909,143.815,-46.4669,0.25,1
IU.MAJO,P,1716.59,113.818,-59.5134,0.25,1
JP.JMM,P,1832.1,105.746,-51.9084,0.25,1
IU.TATO,P,2143.88,177.424,-24.4384,0.25,1
IC.MDJ,P,718.252,83.4809,31.1647,0.5625,1
KS.BUS2,P,1237.07,140.988,-7.23843,0.25,1
IC.SSE,P,1462.6,177.631,18.8616,0.25,1
KS.SEO2,P,920.396,142.388,32.2163,0.25,1
II.ERM,P,1844.57,89.8005,31.8116,0.25,1
