station,phase,travel_time_s,snr,quality,distance_km
IC.BJT,P,143.419,4.5016,1,1093.69
IC.MDJ,P,53.3195,2.7719,1,366.929
IC.SSE,P,172.019,2.7856,1,1338.09
II.ERM,P,154.119,2.5052,1,1173.8
IU.INCN,P,65.9195,4.1792,1,477.077
IU.MAJO,P,126.519,2.8331,1,954.775
IU.TATO,P,229.669,2.646,1,1948.78
IU.ULN,P,238.97,2.7327,1,1877.1
IU.YSS,P,165.5,2.7671,1,1257.95
JP.JMM,P,141.3,2.593,1,1077.38
JP.JTM,P,131.8,2.6464,1,1009.5
JP.JTU,P,100.75,3.0593,1,758.505
KS.BUS2,P,90.9195,4.6759,1,677.699
KS.SEO2,P,64.5695,7.4744,0,465.054
