station,distance_km,sample,ratio
IC.MDJ,366.929,-2.0055,0.139633
IC.MDJ,366.929,-1.9555,0.139642
IC.MDJ,366.929,-1.9055,0.139656
IC.MDJ,366.929,-1.8555,0.13967
IC.MDJ,366.929,-1.8055,0.139692
IC.MDJ,366.929,-1.7555,0.139711
IC.MDJ,366.929,-1.7055,0.139725
IC.MDJ,366.929,-1.6555,0.139734
IC.MDJ,366.929,-1.6055,0.139735
IC.MDJ,366.929,-1.5555,0.139732
IC.MDJ,366.929,-1.5055,0.13973
IC.MDJ,366.929,-1.4555,0.139732
IC.MDJ,366.929,-1.4055,0.139733
IC.MDJ,366.929,-1.3555,0.139733
IC.MDJ,366.929,-1.3055,0.139737
IC.MDJ,366.929,-1.2555,0.139749
IC.MDJ,366.929,-1.2055,0.140225
IC.MDJ,366.929,-1.1555,0.1407
IC.MDJ,366.929,-1.1055,0.141178
IC.MDJ,366.929,-1.0555,0.141655
IC.MDJ,366.929,-1.0055,0.142137
IC.MDJ,366.929,-0.9555,0.142629
IC.MDJ,366.929,-0.9055,0.143122
IC.MDJ,366.929,-0.8555,0.143618
IC.MDJ,366.929,-0.8055,0.144119
IC.MDJ,366.929,-0.7555,0.144625
IC.MDJ,366.929,-0.7055,0.14514
IC.MDJ,366.929,-0.6555,0.145662
IC.MDJ,366.929,-0.6055,0.146177
IC.MDJ,366.929,-0.5555,0.14669
IC.MDJ,366.929,-0.5055,0.147202
IC.MDJ,366.929,-0.4555,0.147716
IC.MDJ,366.929,-0.4055,0.148238
IC.MDJ,366.929,-0.3555,0.148772
IC.MDJ,366.929,-0.3055,0.14931
IC.MDJ,366.929,-0.2555,0.149849
IC.MDJ,366.929,-0.2055,0.150398
IC.MDJ,366.929,-0.1555,0.150958
IC.MDJ,366.929,-0.1055,0.151527
IC.MDJ,366.929,-0.0555,0.152095
IC.MDJ,366.929,-0.0055,0.152664
IC.MDJ,366.929,0.0445,0.153235
IC.MDJ,366.929,0.0945,0.153808
IC.MDJ,366.929,0.1445,0.154384
IC.MDJ,366.929,0.1945,0.154962
IC.MDJ,366.929,0.2445,0.155537
IC.MDJ,366.929,0.2945,0.156115
IC.MDJ,366.929,0.3445,0.1567
IC.MDJ,366.929,0.3945,0.157303
IC.MDJ,366.929,0.4445,0.157921
IC.MDJ,366.929,0.4945,0.158546
IC.MDJ,366.929,0.5445,0.159177
IC.MDJ,366.929,0.5945,0.159809
IC.MDJ,366.929,0.6445,0.160443
IC.MDJ,366.929,0.6945,0.161082
IC.MDJ,366.929,0.7445,0.161724
IC.MDJ,366.929,0.7945,0.162373
IC.MDJ,366.929,0.8445,0.163034
IC.MDJ,366.929,0.8945,0.163702
IC.MDJ,366.929,0.9445,0.164382
IC.MDJ,366.929,0.9945,0.16507
IC.MDJ,366.929,1.0445,0.165765
IC.MDJ,366.929,1.0945,0.166463
IC.MDJ,366.929,1.1445,0.167163
IC.MDJ,366.929,1.1945,0.167872
IC.MDJ,366.929,1.2445,0.168592
IC.MDJ,366.929,1.2945,0.169319
IC.MDJ,366.929,1.3445,0.170054
IC.MDJ,366.929,1.3945,0.170799
IC.MDJ,366.929,1.4445,0.171553
IC.MDJ,366.929,1.4945,0.172313
IC.MDJ,366.929,1.5445,0.173076
IC.MDJ,366.929,1.5945,0.173841
IC.MDJ,366.929,1.6445,0.174612
IC.MDJ,366.929,1.6945,0.175389
IC.MDJ,366.929,1.7445,0.176172
IC.MDJ,366.929,1.7945,0.176949
IC.MDJ,366.929,1.8445,0.17771
IC.MDJ,366.929,1.8945,0.178458
IC.MDJ,366.929,1.9445,0.179197
IC.MDJ,366.929,1.9945,0.179933
IC.MDJ,366.929,2.0445,0.180675
IC.MDJ,366.929,2.0945,0.181423
IC.MDJ,366.929,2.1445,0.182178
IC.MDJ,366.929,2.1945,0.182946
IC.MDJ,366.929,2.2445,0.183724
IC.MDJ,366.929,2.2945,0.184506
IC.MDJ,366.929,2.3445,0.185284
IC.MDJ,366.929,2.3945,0.186595
IC.MDJ,366.929,2.4445,0.188465
IC.MDJ,366.929,2.4945,0.190375
IC.MDJ,366.929,2.5445,0.192333
IC.MDJ,366.929,2.5945,0.194343
IC.MDJ,366.929,2.6445,0.196406
IC.MDJ,366.929,2.6945,0.198522
IC.MDJ,366.929,2.7445,0.200694
IC.MDJ,366.929,2.7945,0.202924
IC.MDJ,366.929,2.8445,0.205218
IC.MDJ,366.929,2.8945,0.207578
IC.MDJ,366.929,2.9445,0.210006
IC.MDJ,366.929,2.9945,0.212501
IC.MDJ,366.929,3.0445,0.21506
IC.MDJ,366.929,3.0945,0.217687
IC.MDJ,366.929,3.1445,0.220383
IC.MDJ,366.929,3.1945,0.223146
IC.MDJ,366.929,3.2445,0.225977
IC.MDJ,366.929,3.2945,0.228872
IC.MDJ,366.929,3.3445,0.231837
IC.MDJ,366.929,3.3945,0.234875
IC.MDJ,366.929,3.4445,0.237995
IC.MDJ,366.929,3.4945,0.241204
IC.MDJ,366.929,3.5445,0.244502
IC.MDJ,366.929,3.5945,0.247889
IC.MDJ,366.929,3.6445,0.251367
IC.MDJ,366.929,3.6945,0.253736
IC.MDJ,366.929,3.7445,0.254931
IC.MDJ,366.929,3.7945,0.256133
IC.MDJ,366.929,3.8445,0.257336
IC.MDJ,366.929,3.8945,0.258543
IC.MDJ,366.929,3.9445,0.25915
IC.MDJ,366.929,3.9945,0.259154
IC.MDJ,366.929,4.0445,0.259161
IC.MDJ,366.929,4.0945,0.259172
IC.MDJ,366.929,4.1445,0.259184
IC.MDJ,366.929,4.1945,0.259189
IC.MDJ,366.929,4.2445,0.259188
IC.MDJ,366.929,4.2945,0.259185
IC.MDJ,366.929,4.3445,0.259185
IC.MDJ,366.929,4.3945,0.259192
IC.MDJ,366.929,4.4445,0.259199
IC.MDJ,366.929,4.4945,0.259194
IC.MDJ,366.929,4.5445,0.259167
IC.MDJ,366.929,4.5945,0.259119
IC.MDJ,366.929,4.6445,0.259058
IC.MDJ,366.929,4.6945,0.25899
IC.MDJ,366.929,4.7445,0.25892
IC.MDJ,366.929,4.7945,0.258851
IC.MDJ,366.929,4.8445,0.258788
IC.MDJ,366.929,4.8945,0.258736
IC.MDJ,366.929,4.9445,0.258688
IC.MDJ,366.929,4.9945,0.258658
IC.MDJ,366.929,5.0445,0.258625
IC.MDJ,366.929,5.0945,0.258591
IC.MDJ,366.929,5.1445,0.258557
IC.MDJ,366.929,5.1945,0.258524
IC.MDJ,366.929,5.2445,0.258494
IC.MDJ,366.929,5.2945,0.258469
IC.MDJ,366.929,5.3445,0.258451
IC.MDJ,366.929,5.3945,0.258436
IC.MDJ,366.929,5.4445,0.258426
IC.MDJ,366.929,5.4945,0.258426
IC.MDJ,366.929,5.5445,0.258445
IC.MDJ,366.929,5.5945,0.258482
IC.MDJ,366.929,5.6445,0.258533
IC.MDJ,366.929,5.6945,0.25859
IC.MDJ,366.929,5.7445,0.258652
IC.MDJ,366.929,5.7945,0.258718
IC.MDJ,366.929,5.8445,0.258785
IC.MDJ,366.929,5.8945,0.258852
IC.MDJ,366.929,5.9445,0.258919
IC.MDJ,366.929,5.9945,0.258967
IC.MDJ,366.929,6.0445,0.259012
IC.MDJ,366.929,6.0945,0.259054
IC.MDJ,366.929,6.1445,0.259094
IC.MDJ,366.929,6.1945,0.259132
IC.MDJ,366.929,6.2445,0.259165
IC.MDJ,366.929,6.2945,0.259194
IC.MDJ,366.929,6.3445,0.259214
IC.MDJ,366.929,6.3945,0.259226
IC.MDJ,366.929,6.4445,0.259232
IC.MDJ,366.929,6.4945,0.259233
IC.MDJ,366.929,6.5445,0.25923
IC.MDJ,366.929,6.5945,0.259222
IC.MDJ,366.929,6.6445,0.259206
IC.MDJ,366.929,6.6945,0.259181
IC.MDJ,366.929,6.7445,0.259149
IC.MDJ,366.929,6.7945,0.259111
IC.MDJ,366.929,6.8445,0.25907
IC.MDJ,366.929,6.8945,0.259026
IC.MDJ,366.929,6.9445,0.25898
IC.MDJ,366.929,6.9945,0.25893
IC.MDJ,366.929,7.0445,0.258879
IC.MDJ,366.929,7.0945,0.258825
IC.MDJ,366.929,7.1445,0.258768
IC.MDJ,366.929,7.1945,0.25871
IC.MDJ,366.929,7.2445,0.25865
IC.MDJ,366.929,7.2945,0.25859
IC.MDJ,366.929,7.3445,0.258531
IC.MDJ,366.929,7.3945,0.258477
IC.MDJ,366.929,7.4445,0.258426
IC.MDJ,366.929,7.4945,0.258375
IC.MDJ,366.929,7.5445,0.258324
IC.MDJ,366.929,7.5945,0.258275
IC.MDJ,366.929,7.6445,0.258231
IC.MDJ,366.929,7.6945,0.261623
IC.MDJ,366.929,7.7445,0.265117
IC.MDJ,366.929,7.7945,0.268719
IC.MDJ,366.929,7.8445,0.272431
IC.MDJ,366.929,7.8945,0.276259
IC.MDJ,366.929,7.9445,0.280208
IC.MDJ,366.929,7.9945,0.284286
IC.MDJ,366.929,8.0445,0.288498
IC.MDJ,366.929,8.0945,0.29285
IC.MDJ,366.929,8.1445,0.297344
IC.MDJ,366.929,8.1945,0.301984
IC.MDJ,366.929,8.2445,0.306773
IC.MDJ,366.929,8.2945,0.311719
IC.MDJ,366.929,8.3445,0.316828
IC.MDJ,366.929,8.3945,0.322107
IC.MDJ,366.929,8.4445,0.327559
IC.MDJ,366.929,8.4945,0.333192
IC.MDJ,366.929,8.5445,0.339011
IC.MDJ,366.929,8.5945,0.34502
IC.MDJ,366.929,8.6445,0.351229
IC.MDJ,366.929,8.6945,0.357649
IC.MDJ,366.929,8.7445,0.364288
IC.MDJ,366.929,8.7945,0.371161
IC.MDJ,366.929,8.8445,0.378283
IC.MDJ,366.929,8.8945,0.385668
IC.MDJ,366.929,8.9445,0.393332
IC.MDJ,366.929,8.9945,0.401292
IC.MDJ,366.929,9.0445,0.409567
IC.MDJ,366.929,9.0945,0.418176
IC.MDJ,366.929,9.1445,0.427149
IC.MDJ,366.929,9.1945,0.436513
IC.MDJ,366.929,9.2445,0.446296
IC.MDJ,366.929,9.2945,0.456529
IC.MDJ,366.929,9.3445,0.467241
IC.MDJ,366.929,9.3945,0.47847
IC.MDJ,366.929,9.4445,0.494428
IC.MDJ,366.929,9.4945,0.516045
IC.MDJ,366.929,9.5445,0.539665
IC.MDJ,366.929,9.5945,0.565575
IC.MDJ,366.929,9.6445,0.59412
IC.MDJ,366.929,9.6945,0.625717
IC.MDJ,366.929,9.7445,0.660878
IC.MDJ,366.929,9.7945,0.70023
IC.MDJ,366.929,9.8445,0.744566
IC.MDJ,366.929,9.8945,0.761732
IC.MDJ,366.929,9.9445,0.779714
IC.MDJ,366.929,9.9945,0.79172
IC.MDJ,366.929,10.0445,0.797157
IC.MDJ,366.929,10.0945,0.802666
IC.MDJ,366.929,10.1445,0.808249
IC.MDJ,366.929,10.1945,0.813914
IC.MDJ,366.929,10.2445,0.819666
IC.MDJ,366.929,10.2945,0.825505
IC.MDJ,366.929,10.3445,0.831429
IC.MDJ,366.929,10.3945,0.837436
IC.MDJ,366.929,10.4445,0.843517
IC.MDJ,366.929,10.4945,0.849669
IC.MDJ,366.929,10.5445,0.855913
IC.MDJ,366.929,10.5945,0.862261
IC.MDJ,366.929,10.6445,0.868709
IC.MDJ,366.929,10.6945,0.875252
IC.MDJ,366.929,10.7445,0.881893
IC.MDJ,366.929,10.7945,0.888632
IC.MDJ,366.929,10.8445,0.895473
IC.MDJ,366.929,10.8945,0.902442
IC.MDJ,366.929,10.9445,0.909517
IC.MDJ,366.929,10.9945,0.916705
IC.MDJ,366.929,11.0445,0.924011
IC.MDJ,366.929,11.0945,0.931446
IC.MDJ,366.929,11.1445,0.939027
IC.MDJ,366.929,11.1945,0.946738
IC.MDJ,366.929,11.2445,0.954582
IC.MDJ,366.929,11.2945,0.962555
IC.MDJ,366.929,11.3445,0.970641
IC.MDJ,366.929,11.3945,0.978841
IC.MDJ,366.929,11.4445,0.987158
IC.MDJ,366.929,11.4945,0.995593
IC.MDJ,366.929,11.5445,0.99984
IC.MDJ,366.929,11.5945,0.999806
IC.MDJ,366.929,11.6445,0.999764
IC.MDJ,366.929,11.6945,0.999718
IC.MDJ,366.929,11.7445,0.999667
IC.MDJ,366.929,11.7945,0.999615
IC.MDJ,366.929,11.8445,0.999562
