station,distance_km,time_s,amplitude
IC.MDJ,366.929,65.9695,-1.45922e+06
IC.MDJ,366.929,66.0695,-91575
IC.MDJ,366.929,66.1695,1.36331e+06
IC.MDJ,366.929,66.2695,1.23422e+06
IC.MDJ,366.929,66.3695,670563
IC.MDJ,366.929,66.4695,303412
IC.MDJ,366.929,66.5695,-310167
IC.MDJ,366.929,66.6695,-249166
IC.MDJ,366.929,66.7695,570091
IC.MDJ,366.929,66.8695,1.1622e+06
IC.MDJ,366.929,66.9695,1.15469e+06
IC.MDJ,366.929,67.0695,1.23711e+06
IC.MDJ,366.929,67.1695,441434
IC.MDJ,366.929,67.2695,-139118
IC.MDJ,366.929,67.3695,-806340
IC.MDJ,366.929,67.4695,351566
IC.MDJ,366.929,67.5695,1.16949e+06
IC.MDJ,366.929,67.6695,1.53974e+06
IC.MDJ,366.929,67.7695,1.90951e+06
IC.MDJ,366.929,67.8695,940893
IC.MDJ,366.929,67.9695,224433
IC.MDJ,366.929,68.0695,-325720
IC.MDJ,366.929,68.1695,419741
IC.MDJ,366.929,68.2695,1.30568e+06
IC.MDJ,366.929,68.3695,1.32529e+06
IC.MDJ,366.929,68.4695,720720
IC.MDJ,366.929,68.5695,1.10375e+06
IC.MDJ,366.929,68.6695,1.2959e+06
IC.MDJ,366.929,68.7695,1.13715e+06
IC.MDJ,366.929,68.8695,1.12344e+06
IC.MDJ,366.929,68.9695,1.17123e+06
IC.MDJ,366.929,69.0695,1.10047e+06
IC.MDJ,366.929,69.1695,1.45955e+06
IC.MDJ,366.929,69.2695,776458
IC.MDJ,366.929,69.3695,907815
IC.MDJ,366.929,69.4695,855276
IC.MDJ,366.929,69.5695,846210
IC.MDJ,366.929,69.6695,966146
IC.MDJ,366.929,69.7695,1.13624e+06
IC.MDJ,366.929,69.8695,1.13318e+06
IC.MDJ,366.929,69.9695,651650
IC.MDJ,366.929,70.0695,759741
IC.MDJ,366.929,70.1695,372509
IC.MDJ,366.929,70.2695,-18349
IC.MDJ,366.929,70.3695,617422
IC.MDJ,366.929,70.4695,1.15186e+06
IC.MDJ,366.929,70.5695,1.47714e+06
IC.MDJ,366.929,70.6695,1.2231e+06
IC.MDJ,366.929,70.7695,1.22061e+06
IC.MDJ,366.929,70.8695,1.15893e+06
IC.MDJ,366.929,70.9695,1.15893e+06
IC.MDJ,366.929,71.0695,1.1589e+06
IC.MDJ,366.929,71.1695,-857898
IC.MDJ,366.929,71.2695,-622511
IC.MDJ,366.929,71.3695,-87846
IC.MDJ,366.929,71.4695,383159
IC.MDJ,366.929,71.5695,602179
IC.MDJ,366.929,71.6695,311372
IC.MDJ,366.929,71.7695,194482
IC.MDJ,366.929,71.8695,-145706
IC.MDJ,366.929,71.9695,-553996
IC.MDJ,366.929,72.0695,-792899
IC.MDJ,366.929,72.1695,-783765
IC.MDJ,366.929,72.2695,-1.23154e+06
IC.MDJ,366.929,72.3695,-1.49041e+06
IC.MDJ,366.929,72.4695,-1.40766e+06
IC.MDJ,366.929,72.5695,-1.18106e+06
IC.MDJ,366.929,72.6695,-315559
IC.MDJ,366.929,72.7695,556241
IC.MDJ,366.929,72.8695,927455
IC.MDJ,366.929,72.9695,864833
IC.MDJ,366.929,73.0695,581309
IC.MDJ,366.929,73.1695,533958
IC.MDJ,366.929,73.2695,900723
IC.MDJ,366.929,73.3695,1.30832e+06
IC.MDJ,366.929,73.4695,1.16725e+06
IC.MDJ,366.929,73.5695,1.03611e+06
IC.MDJ,366.929,73.6695,934091
IC.MDJ,366.929,73.7695,606116
IC.MDJ,366.929,73.8695,-35643
IC.MDJ,366.929,73.9695,-565122
IC.MDJ,366.929,74.0695,-904165
IC.MDJ,366.929,74.1695,-865597
IC.MDJ,366.929,74.2695,-612636
IC.MDJ,366.929,74.3695,-678729
IC.MDJ,366.929,74.4695,-788152
IC.MDJ,366.929,74.5695,-581707
IC.MDJ,366.929,74.6695,-202458
IC.MDJ,366.929,74.7695,-19238
IC.MDJ,366.929,74.8695,44617
IC.MDJ,366.929,74.9695,-70269
IC.MDJ,366.929,75.0695,-57084
IC.MDJ,366.929,75.1695,32014
IC.MDJ,366.929,75.2695,130551
IC.MDJ,366.929,75.3695,-152966
IC.MDJ,366.929,75.4695,84982
IC.MDJ,366.929,75.5695,329385
IC.MDJ,366.929,75.6695,598537
IC.MDJ,366.929,75.7695,649644
IC.MDJ,366.929,75.8695,319890
IC.MDJ,366.929,75.9695,200384
IC.MDJ,366.929,76.0695,359337
IC.MDJ,366.929,76.1695,359331
IC.MDJ,366.929,76.2695,359325
IC.MDJ,366.929,76.3695,359310
IC.MDJ,366.929,76.4695,-1.06689e+06
IC.MDJ,366.929,76.5695,-1.35489e+06
IC.MDJ,366.929,76.6695,-1.59707e+06
IC.MDJ,366.929,76.7695,-1.75388e+06
IC.MDJ,366.929,76.8695,-1.81647e+06
IC.MDJ,366.929,76.9695,-1.70656e+06
IC.MDJ,366.929,77.0695,-1.43743e+06
IC.MDJ,366.929,77.1695,-1.03091e+06
IC.MDJ,366.929,77.2695,-605558
IC.MDJ,366.929,77.3695,-127762
IC.MDJ,366.929,77.4695,471500
IC.MDJ,366.929,77.5695,992350
IC.MDJ,366.929,77.6695,1.35736e+06
IC.MDJ,366.929,77.7695,1.51791e+06
IC.MDJ,366.929,77.8695,1.58813e+06
IC.MDJ,366.929,77.9695,1.4894e+06
IC.MDJ,366.929,78.0695,1.24412e+06
IC.MDJ,366.929,78.1695,922255
IC.MDJ,366.929,78.2695,564599
IC.MDJ,366.929,78.3695,209303
IC.MDJ,366.929,78.4695,-154110
IC.MDJ,366.929,78.5695,-507121
IC.MDJ,366.929,78.6695,-797949
IC.MDJ,366.929,78.7695,-1.09222e+06
IC.MDJ,366.929,78.8695,-1.34078e+06
IC.MDJ,366.929,78.9695,-1.43859e+06
IC.MDJ,366.929,79.0695,-1.40515e+06
IC.MDJ,366.929,79.1695,-1.27644e+06
IC.MDJ,366.929,79.2695,-1.13822e+06
IC.MDJ,366.929,79.3695,-964234
IC.MDJ,366.929,79.4695,-721248
IC.MDJ,366.929,79.5695,-492323
IC.MDJ,366.929,79.6695,-194486
IC.MDJ,366.929,79.7695,124663
IC.MDJ,366.929,79.8695,401574
IC.MDJ,366.929,79.9695,610770
IC.MDJ,366.929,80.0695,754525
IC.MDJ,366.929,80.1695,874430
IC.MDJ,366.929,80.2695,947383
IC.MDJ,366.929,80.3695,927226
IC.MDJ,366.929,80.4695,803807
IC.MDJ,366.929,80.5695,625592
IC.MDJ,366.929,80.6695,352057
IC.MDJ,366.929,80.7695,31103
IC.MDJ,366.929,80.8695,-389796
IC.MDJ,366.929,80.9695,-745649
IC.MDJ,366.929,81.0695,-1.00938e+06
IC.MDJ,366.929,81.1695,-1.19041e+06
IC.MDJ,366.929,81.2695,-1.27362e+06
IC.MDJ,366.929,81.3695,-1.27362e+06
IC.MDJ,366.929,81.4695,-1.27365e+06
IC.MDJ,366.929,65.9695,-1.45922e+06
IC.MDJ,366.929,66.0695,-91575
IC.MDJ,366.929,66.1695,1.36331e+06
IC.MDJ,366.929,66.2695,1.23422e+06
IC.MDJ,366.929,66.3695,670563
IC.MDJ,366.929,66.4695,303412
IC.MDJ,366.929,66.5695,-310167
IC.MDJ,366.929,66.6695,-249166
IC.MDJ,366.929,66.7695,570091
IC.MDJ,366.929,66.8695,1.1622e+06
IC.MDJ,366.929,66.9695,1.15469e+06
IC.MDJ,366.929,67.0695,1.23711e+06
IC.MDJ,366.929,67.1695,441434
IC.MDJ,366.929,67.2695,-139118
IC.MDJ,366.929,67.3695,-806340
IC.MDJ,366.929,67.4695,351566
IC.MDJ,366.929,67.5695,1.16949e+06
IC.MDJ,366.929,67.6695,1.53974e+06
IC.MDJ,366.929,67.7695,1.90951e+06
IC.MDJ,366.929,67.8695,940893
IC.MDJ,366.929,67.9695,224433
IC.MDJ,366.929,68.0695,-325720
IC.MDJ,366.929,68.1695,419741
IC.MDJ,366.929,68.2695,1.30568e+06
IC.MDJ,366.929,68.3695,1.32529e+06
IC.MDJ,366.929,68.4695,720720
IC.MDJ,366.929,68.5695,1.10375e+06
IC.MDJ,366.929,68.6695,1.2959e+06
IC.MDJ,366.929,68.7695,1.13715e+06
IC.MDJ,366.929,68.8695,1.12344e+06
IC.MDJ,366.929,68.9695,1.17123e+06
IC.MDJ,366.929,69.0695,1.10047e+06
IC.MDJ,366.929,69.1695,1.45955e+06
IC.MDJ,366.929,69.2695,776458
IC.MDJ,366.929,69.3695,907815
IC.MDJ,366.929,69.4695,855276
IC.MDJ,366.929,69.5695,846210
IC.MDJ,366.929,69.6695,966146
IC.MDJ,366.929,69.7695,1.13624e+06
IC.MDJ,366.929,69.8695,1.13318e+06
IC.MDJ,366.929,69.9695,651650
IC.MDJ,366.929,70.0695,759741
IC.MDJ,366.929,70.1695,372509
IC.MDJ,366.929,70.2695,-18349
IC.MDJ,366.929,70.3695,617422
IC.MDJ,366.929,70.4695,1.15186e+06
IC.MDJ,366.929,70.5695,1.47714e+06
IC.MDJ,366.929,70.6695,1.2231e+06
IC.MDJ,366.929,70.7695,1.22061e+06
IC.MDJ,366.929,70.8695,1.15893e+06
IC.MDJ,366.929,70.9695,1.15893e+06
IC.MDJ,366.929,71.0695,1.1589e+06
IC.MDJ,366.929,71.1695,-857898
IC.MDJ,366.929,71.2695,-622511
IC.MDJ,366.929,71.3695,-87846
IC.MDJ,366.929,71.4695,383159
IC.MDJ,366.929,71.5695,602179
IC.MDJ,366.929,71.6695,311372
IC.MDJ,366.929,71.7695,194482
IC.MDJ,366.929,71.8695,-145706
IC.MDJ,366.929,71.9695,-553996
IC.MDJ,366.929,72.0695,-792899
IC.MDJ,366.929,72.1695,-783765
