station,phase,distance_km,azimuth,residual_s,weight,used
CI.ADO,P,135.613,173.565,-0.000576934,1,1
CI.CHF,P,163.762,194.041,0.114252,1,1
CI.BBR,P,177.695,159.445,0.130821,1,1
CI.CHN,P,187.505,191.772,0.130849,1,1
CI.CGO,P,195.399,199.233,0.123239,1,1
CI.CIA,P,197.041,185.609,0.0786323,1,1
CI.CAC,P,208.007,163.711,0.0869787,1,1
CI.BRE,P,216.859,181.22,0.236328,1,1
CI.BOR,P,231.252,166.327,0.160147,1,1
CI.BAR,P,353.208,165.764,0.254394,1,1
CI.ADO,S,135.613,173.565,-0.223327,1,1
CI.CHF,S,163.762,194.041,-0.0358445,1,1
CI.BBR,S,177.695,159.445,-0.0108804,1,1
CI.CHN,S,187.505,191.772,-0.00579382,1,1
CI.CGO,S,195.399,199.233,-0.00454993,1,1
CI.CIA,S,197.041,185.609,-0.0845926,1,1
CI.CAC,S,208.007,163.711,-0.0821067,1,1
CI.BRE,S,216.859,181.22,0.173872,1,1
CI.BOR,S,231.252,166.327,0.047073,1,1
CI.BAR,S,353.208,165.764,0.21851,1,1
