station,phase,travel_time_s,snr,quality,distance_km
IU.TUC,P,-6.5195,2.62539,2,736.098
CI.MPM,P,4.5555,15.4025,0,33.5213
CI.LRL,P,4.9055,24.4154,0,33.1639
CI.DAW,P,8.1578,25.6512,0,55.7677
CI.WMF,P,12.6305,15.1679,0,44.9957
CI.EDW2,P,16.5305,20.698,0,105.133
CI.JRC2,P,16.731,18.4013,0,30.2652
IU.ANMO,P,18.6805,6.88658,1,1013.99
CI.ISA,P,20.4055,26.4523,0,79.8899
CI.GSC,P,21.0305,6.24167,1,88.6731
CI.ADO,P,21.2305,15.8293,0,136.43
IU.COR,P,21.6555,7.08605,1,1092.84
CI.HEC,P,24.0805,21.7582,0,155.23
CI.SRT,P,25.7555,6.13755,1,16.1757
CI.CCC,P,26.6305,6.20529,1,34.5218
CI.TOW2,P,27.7555,24.6981,0,15.5673
CI.SLA,P,29.6305,22.368,0,31.4761
CI.WRC2,P,30.1555,18.833,0,20.3167
CI.WBM,P,33.8328,22.9873,0,31.8738
CI.CLC,P,35.6555,15.0558,0,5.08341
CI.CWC,P,44.1305,26.4487,0,86.052
CI.BLA2,P,53.1555,2.99386,2,218.89
CI.DAW,S,11.5578,6.86507,1,55.7677
CI.MPM,S,17.6305,4.71217,2,33.5213
CI.EDW2,S,18.6805,3.07037,2,105.133
CI.ISA,S,20.4055,3.1792,2,79.8899
CI.ADO,S,22.9055,11.8307,1,136.43
CI.GSC,S,25.2055,6.09021,1,88.6731
CI.HEC,S,25.6305,11.2772,1,155.23
CI.LRL,S,26.6055,12.6482,1,33.1639
CI.TOW2,S,30.8555,10.6229,1,15.5673
CI.CCC,S,33.3055,2.72176,2,34.5218
CI.SRT,S,33.7805,3.22587,2,16.1757
CI.SLA,S,38.6805,2.63393,2,31.4761
CI.JRC2,S,41.081,19.999,0,30.2652
CI.WBM,S,42.0328,5.70667,2,31.8738
CI.WMF,S,46.6305,2.6906,2,44.9957
CI.WRC2,S,46.6555,3.71623,2,20.3167
CI.CWC,S,49.2805,2.73019,2,86.052
CI.BLA2,S,64.0805,4.66875,2,218.89
IU.ANMO,S,83.9555,18.2713,0,1013.99
CI.CLC,S,91.4805,6.55934,1,5.08341
