station,distance_km,sample,ratio
CI.CCC,34.5218,19.3805,0
CI.CCC,34.5218,19.4305,0
CI.CCC,34.5218,19.4805,0
CI.CCC,34.5218,19.5305,0
CI.CCC,34.5218,19.5805,0
CI.CCC,34.5218,19.6305,0
CI.CCC,34.5218,19.6805,0
CI.CCC,34.5218,19.7305,0
CI.CCC,34.5218,19.7805,0
CI.CCC,34.5218,19.8305,0
CI.CCC,34.5218,19.8805,0
CI.CCC,34.5218,19.9305,0
CI.CLC,5.08341,16.5305,0
CI.CLC,5.08341,16.5805,0
CI.CLC,5.08341,16.6305,0
CI.CLC,5.08341,16.6805,0
CI.CLC,5.08341,16.7305,0
CI.CLC,5.08341,16.7805,0
CI.CLC,5.08341,16.8305,0
CI.CLC,5.08341,16.8805,0
CI.CLC,5.08341,16.9305,0
CI.CLC,5.08341,16.9805,0
CI.CLC,5.08341,17.0305,0
CI.CLC,5.08341,17.0805,0
CI.CLC,5.08341,17.1305,0
CI.CLC,5.08341,17.1805,0
CI.CLC,5.08341,17.2305,0
CI.CLC,5.08341,17.2805,0
CI.CLC,5.08341,17.3305,0
CI.CLC,5.08341,17.3805,0
CI.CLC,5.08341,17.4305,0
CI.CLC,5.08341,17.4805,0
CI.CLC,5.08341,17.5305,0
CI.CLC,5.08341,17.5805,0
CI.CLC,5.08341,17.6305,0
CI.CLC,5.08341,17.6805,0
CI.CLC,5.08341,17.7305,0
CI.CLC,5.08341,17.7805,0
CI.CLC,5.08341,17.8305,0
CI.CLC,5.08341,17.8805,0
CI.CLC,5.08341,17.9305,0
CI.CLC,5.08341,17.9805,0
CI.CLC,5.08341,18.0305,0
CI.CLC,5.08341,18.0805,0
CI.CLC,5.08341,18.1305,0
CI.CLC,5.08341,18.1805,0
CI.CLC,5.08341,18.2305,0
CI.CLC,5.08341,18.2805,0
CI.CLC,5.08341,18.3305,0
CI.CLC,5.08341,18.3805,0
CI.CLC,5.08341,18.4305,0
CI.CLC,5.08341,18.4805,0
CI.CLC,5.08341,18.5305,0
CI.CLC,5.08341,18.5805,0
CI.CLC,5.08341,18.6305,0
CI.CLC,5.08341,18.6805,0
CI.CLC,5.08341,18.7305,0
CI.CLC,5.08341,18.7805,0
CI.CLC,5.08341,18.8305,0
CI.CLC,5.08341,18.8805,0
CI.CLC,5.08341,18.9305,0
CI.CLC,5.08341,18.9805,0
CI.CLC,5.08341,19.0305,0
CI.CLC,5.08341,19.0805,0
