network,station,latitude,longitude,elevation,distance_km
CI,ADO,34.5505,-117.434,1500,136.43
CI,BAR,32.68,-116.672,580,353.995
CI,BC3,33.6572,-115.453,-15,306.034
CI,BBS,34.064,-117.091,498,195.26
CI,BBR,34.2643,-116.921,1725,178.447
CI,BEL,34.0009,-117.275,339,198.925
CI,BFS,34.2388,-117.657,1254,170.344
CI,BIL,34.3467,-116.089,605,209.606
CI,BKR,35.0955,-119.063,238,152.397
CI,BLA,35.9973,-117.175,1070,45.7882
CI,BLC,33.7908,-117.558,260,220.109
CI,BOR,33.7403,-117.009,1600,232.042
CI,BRE,33.8127,-117.65,230,217.691
CI,BTC,34.8022,-118.889,1190,159.047
CI,CAC,33.9653,-116.967,1055,208.784
CI,CAP,34.353,-118.434,1000,174.932
CI,CGO,34.1013,-118.299,165,196.209
CI,CHF,34.333,-118.032,710,164.587
CI,CHN,34.111,-118.015,207,188.334
CI,CIA,33.9988,-117.809,163,197.875
IU,ANMO,34.9462,-106.457,1850,1014.03
IU,COR,44.5855,-123.305,110,1092.84
IU,TUC,32.3098,-110.785,909,736.098
