station,distance_km,time_s,amplitude
CI.CLC,5.08341,16.5305,-7.60655e+06
CI.CLC,5.08341,16.5805,-8.7853e+06
CI.CLC,5.08341,16.6305,-5.12022e+06
CI.CLC,5.08341,16.6805,-1.48563e+06
CI.CLC,5.08341,16.7305,3.92652e+06
CI.CLC,5.08341,16.7805,2.43699e+06
CI.CLC,5.08341,16.8305,5.24223e+06
CI.CLC,5.08341,16.8805,1.04226e+07
CI.CLC,5.08341,16.9305,1.11303e+07
CI.CLC,5.08341,16.9805,1.09214e+07
CI.CLC,5.08341,17.0305,1.09095e+07
CI.CLC,5.08341,17.0805,1.09495e+07
CI.CLC,5.08341,17.1305,1.06006e+07
CI.CLC,5.08341,17.1805,8.91448e+06
CI.CLC,5.08341,17.2305,9.098e+06
CI.CLC,5.08341,17.2805,8.9198e+06
CI.CLC,5.08341,17.3305,7.62548e+06
CI.CLC,5.08341,17.3805,7.12707e+06
CI.CLC,5.08341,17.4305,8.59397e+06
CI.CLC,5.08341,17.4805,6.39012e+06
CI.CLC,5.08341,17.5305,9.63913e+06
CI.CLC,5.08341,17.5805,1.00592e+07
CI.CLC,5.08341,17.6305,8.71972e+06
CI.CLC,5.08341,17.6805,1.01968e+07
CI.CLC,5.08341,17.7305,1.04332e+07
CI.CLC,5.08341,17.7805,8.45463e+06
CI.CLC,5.08341,17.8305,4.44285e+06
CI.CLC,5.08341,17.8805,-700905
CI.CLC,5.08341,17.9305,-379825
CI.CLC,5.08341,17.9805,2.77316e+06
CI.CLC,5.08341,18.0305,-1.06019e+06
CI.CLC,5.08341,18.0805,-1.47624e+06
CI.CLC,5.08341,18.1305,2.80526e+06
CI.CLC,5.08341,18.1805,-921895
CI.CLC,5.08341,18.2305,-1.57994e+06
CI.CLC,5.08341,18.2805,4.37295e+06
CI.CLC,5.08341,18.3305,1.06e+07
CI.CLC,5.08341,18.3805,1.33824e+07
CI.CLC,5.08341,18.4305,1.41224e+07
CI.CLC,5.08341,18.4805,1.41454e+07
CI.CLC,5.08341,18.5305,1.42862e+07
CI.CLC,5.08341,18.5805,5.6462e+06
CI.CLC,5.08341,18.6305,1.62038e+07
CI.CLC,5.08341,18.6805,1.63197e+07
CI.CLC,5.08341,18.7305,6.33099e+06
CI.CLC,5.08341,18.7805,1.17119e+07
CI.CLC,5.08341,18.8305,1.10409e+07
CI.CLC,5.08341,18.8805,9.52426e+06
CI.CLC,5.08341,18.9305,1.27975e+07
CI.CLC,5.08341,18.9805,1.64778e+07
CI.CLC,5.08341,19.0305,1.73208e+07
CI.CLC,5.08341,19.0805,8.38174e+06
CI.CLC,5.08341,19.1305,3.71327e+06
CI.CLC,5.08341,19.1805,5.33582e+06
CI.CLC,5.08341,19.2305,6.71332e+06
CI.CLC,5.08341,19.2805,1.64352e+07
CI.CLC,5.08341,19.3305,1.50814e+07
CI.CLC,5.08341,19.3805,1.84702e+07
CI.CLC,5.08341,19.4305,1.99855e+07
CI.CLC,5.08341,19.4805,1.74384e+07
CI.CLC,5.08341,19.5305,2.32189e+07
CI.CLC,5.08341,19.5805,1.85141e+07
CI.CLC,5.08341,19.6305,1.60607e+07
CI.CLC,5.08341,19.6805,1.85087e+07
CI.CLC,5.08341,19.7305,1.93346e+07
CI.CLC,5.08341,19.7805,1.84431e+07
CI.CLC,5.08341,19.8305,1.89133e+07
CI.CLC,5.08341,19.8805,2.245e+07
CI.CLC,5.08341,19.9305,2.37672e+07
CI.CLC,5.08341,19.9805,2.21661e+07
CI.CLC,5.08341,20.0305,2.55907e+07
CI.CLC,5.08341,20.0805,2.07721e+07
CI.CLC,5.08341,20.1305,2.40419e+07
CI.CLC,5.08341,20.1805,1.2971e+07
CI.CLC,5.08341,20.2305,2.11347e+07
CI.CLC,5.08341,20.2805,2.94485e+07
CI.CLC,5.08341,20.3305,2.76331e+07
CI.CLC,5.08341,20.3805,1.9715e+07
CI.CLC,5.08341,20.4305,2.5794e+07
CI.CLC,5.08341,20.4805,2.21233e+07
CI.CLC,5.08341,20.5305,2.4622e+07
CI.CLC,5.08341,20.5805,2.79881e+07
CI.CLC,5.08341,20.6305,2.74178e+07
CI.CLC,5.08341,20.6805,2.7856e+07
CI.CLC,5.08341,20.7305,1.9172e+07
CI.CLC,5.08341,20.7805,2.28909e+07
CI.CLC,5.08341,20.8305,2.08117e+07
CI.CLC,5.08341,20.8805,2.14989e+07
CI.CLC,5.08341,20.9305,1.16359e+07
CI.CLC,5.08341,20.9805,1.15511e+07
CI.CLC,5.08341,21.0305,8.38388e+06
CI.CLC,5.08341,21.0805,1.21161e+07
CI.CLC,5.08341,21.1305,1.64954e+07
CI.CLC,5.08341,21.1805,2.13606e+07
CI.CLC,5.08341,21.2305,2.13602e+07
CI.CLC,5.08341,21.2805,2.0235e+07
CI.CLC,5.08341,21.3305,1.39317e+07
CI.CLC,5.08341,21.3805,1.05644e+07
CI.CLC,5.08341,21.4305,1.99543e+07
CI.CLC,5.08341,21.4805,1.84778e+07
